subdomain,is_reachable
 <li>economia.uma.es,False
ecomtv.uma.es,False
economia.uma.es,True
economicas.reservas.aulas.uma.es,True
economicsiw.uma.es,True
ecoop2002.lcc.uma.es,False
ecplus.uma.es,True
ecplusproject.uma.es,True
ecplustest.uma.es,True
ecudes.uma.es,False
edanya.uma.es,True
edar.ingenierias.uma.es,False
edutec2020.uma.es,True
egerton.filosofia.uma.es,False
ei.uma.es,True
eii.cv.uma.es,True
eip.lcc.uma.es,True
eis.uma.es,True
el.uma.es,False
el4.el.uma.es,True
emefide.aulario.uma.es,False
emotional.intelligence.uma.es,True
empresariales.uma.es,True
enbic2lab.uma.es,True
encic.uma.es,True
enciso.lcc.uma.es,False
encuentrame.uma.es,True
encuentramepre.uma.es,True
encuentros.uma.es,False
encuentrosdemuseologia.uma.es,True
encuestagioi.eii.uma.es,True
encuestagiti.eii.uma.es,True
encuestas.cisa.uma.es,False
encuestas.eii.uma.es,True
encuestas.uma.es,True
enfdipu.cv.uma.es,True
enfermeria-2b10.salud.uma.es,True
enfronda.cv.uma.es,True
enjoycircuits.uma.es,True
ensenanzaspropias.uma.es,False
epiphaan.uma.es,False
eps.evlt.uma.es,False
eps.uma.es,True
epsilon.otri.uma.es,True
equipo.uma.es,False
ertis.uma.es,True
eslabon.uma.es,False
esocc2013.lcc.uma.es,False
espartel.cie.uma.es,False
esslli2006.lcc.uma.es,False
esteco.uma.es,False
estudiosinmobiliarios.uma.es,True
etc.uma.es,False
etempo.sci.uma.es,False
etempo.uma.es,False
etempoas.sci.uma.es,False
etempoas.servicios.uma.es,False
etools-fci.uma.es,True
etramitacion-pre.uma.es,True
etramitacion.uma.es,True
etsit.cv.uma.es,True
etsit.etsit.uma.es,True
euwireless.uma.es,True
ev.alumnos.uma.es,False
ev.ciencias.alumnos.uma.es,False
ev.economicas.alumnos.uma.es,False
eva.ipi.uma.es,False
eva.uma.es,True
evapre.uma.es,True
eventos.otri.uma.es,False
eventos.uma.es,True
evlt.uma.es,True
ewgla2016.lcc.uma.es,False
ewp-test.uma.es,False
ewp.uma.es,False
examenesjunio.lcc.uma.es,False
examenesseptiembre.lcc.uma.es,False
exhauro.uma.es,True
exp-grafica.uma.es,True
expofinder.uma.es,True
exposiciones.cti.uma.es,True
externos.uma.es,True
ezweb.uma.es,False
face.el.uma.es,False
facs08.lcc.uma.es,False
factor-e.uma.es,True
fancine.uma.es,False
fantastico.uma.es,False
feriaempleo.uma.es,True
fet.etsit.uma.es,True
fguma.cv.uma.es,True
fguma.uma.es,False
filesender.uma.es,False
filosofia.cv.uma.es,True
filosofia.reservas.aulas.uma.es,True
filtroext1.sci.uma.es,False
filtroint1.sci.uma.es,False
fis.cie.uma.es,True
flacos11.lcc.uma.es,False
flashsession.uma.es,True
flv.lcc.uma.es,False
flywire-test.uma.es,True
fm-wf-1.ruma.uma.es,False
fm-wf-2.ruma.uma.es,False
fm-wf-3.ruma.uma.es,False
fm-wf-4.ruma.uma.es,False
fma2017.uma.es,True
fmp.uma.es,True
foclasa.lcc.uma.es,True
foclasa05.lcc.uma.es,False
foclasa07.lcc.uma.es,False
foclasa09.lcc.uma.es,False
foclasa11.lcc.uma.es,False
foclasa12.lcc.uma.es,False
foclasa13.lcc.uma.es,False
foclasa15.lcc.uma.es,False
foclasa17.lcc.uma.es,False
forjaz.lcc.uma.es,False
formacionev.cv.uma.es,True
formacionpdi.cv.uma.es,True
formacionytrabajo.uma.es,True
fortitude.adabyron.uma.es,False
fotoarchivo.uma.es,True
fpga-lab.uma.es,True
fresquito2.sci.uma.es,False
frontalcv11.cv.uma.es,True
frontalcv12.cv.uma.es,False
frontalcv13.cv.uma.es,True
frontalcv2.cv.uma.es,False
frontalcv6.cv.uma.es,True
frontalcv8.cv.uma.es,True
frontaldev.uma.es,True
frontalw1.evlt.uma.es,True
fs.uma.es,False
ftp.bioestadistica.uma.es,True
fuegored2015.uma.es,False
funiversitates.uma.es,True
futbol.investigacion.uma.es,True
fvred1.ctima.uma.es,False
fvred4.ctima.uma.es,False
galactus.uma.es,True
garbo.adabyron.uma.es,True
gastrocampus.uma.es,True
gbif.cie.uma.es,False
gcwoc16.ic.uma.es,False
gcwoc18.uma.es,True
gdfguma.uma.es,True
gdn.uma.es,True
gdpas.uma.es,True
gdpdi.uma.es,True
gecco2017.uma.es,False
gecco2018.uma.es,False
gecco2021.uma.es,False
gemelosdigitales.uma.es,True
gemini.uma.es,True
generandotalentoturistico.galactus.uma.es,True
gengibre.ac.uma.es,False
genoma2.ctima.uma.es,False
geodatosabiertos.uma.es,False
geografia.uma.es,True
geotecnologias.uma.es,True
gerenciavmw.gestion.uma.es,False
geriatrianet.uma.es,True
gerontomigracion.uma.es,True
gestionfc.uma.es,False
gestor-reconocimientos.uma.es,False
gestordeencuestas.uma.es,False
gestorlab.lcc.uma.es,False
gfirmas.uma.es,True
gfirmaspre.uma.es,True
gfister.uma.es,False
gides.sci.uma.es,False
gides.uma.es,False
giga.uma.es,True
gitlab.ac.uma.es,False
gitlab.forjaz.morse.adabyron.uma.es,False
gitlab.gris-marengo.morse.adabyron.uma.es,False
gitlab.isa.uma.es,False
gp.uma.es,True
gpoa.uma.es,False
gradomarketing.uma.es,True
graphene.uma.es,True
greenpin.uma.es,True
gris-marengo.lcc.uma.es,False
gris-marengo.morse.adabyron.uma.es,False
grupoisis.uma.es,False
grupos.uma.es,False
gsoillab.uma.es,False
guac.ac.uma.es,True
guacadev.sci.uma.es,False
guacapas.sci.uma.es,True
guiademalaga.uma.es,False
gw.uma.es,True
hadas.caosd.lcc.uma.es,True
hefesto.edu.uma.es,True
helios.ac.uma.es,True
heracles.sci.uma.es,True
hidrogenera00.h2-today.uma.es,False
historiadelartemalaga.uma.es,True
hm2008.lcc.uma.es,False
horizon.adabyron.uma.es,True
hortofruit.biotec.uma.es,True
hs.sci.uma.es,False
huerto.cie.uma.es,True
huertociencias.uma.es,True
hum067.uma.es,True
hum205.uma.es,False
humantech.uma.es,True
humove.uma.es,True
hunter.filosofia.uma.es,False
hunter.uma.es,False
huron.sci.uma.es,False
hysea.uma.es,False
i3t.uma.es,False
ia3r.isa.uma.es,False
iah2019.adabyron.uma.es,True
iah2019.usrv.adabyron.uma.es,False
iaia.lcc.uma.es,True
